Column1,Column2,Column3,Column4,Column5,Column6,Column7
acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Activity
0.46305,3.8190002,8.98005,-0.122925,-0.064625,0.0270875,Upstairs
0.56295,3.69495,8.86005,-0.128975,-0.0716375,0.0380875,Upstairs
0.453,3.7020001,8.82495,-0.143,-0.085525,0.048125,Upstairs
0.38505003,3.7830002,8.961,-0.161975,-0.0946,0.0581625,Upstairs
0.42495003,3.7519503,9.045,-0.18205,-0.0985875,0.0741125,Upstairs
0.38205,3.8170502,9.346951,-0.20405,-0.102575,0.0911625,Upstairs
0.60405004,3.834,9.45705,-0.223025,-0.10065,0.1131625,Upstairs
0.74505,3.80205,9.612,-0.23595,-0.0906125,0.136125,Upstairs
0.92700005,3.8070002,9.850051,-0.242,-0.0735625,0.153175,Upstairs
1.107,3.8190002,9.924001,-0.23595,-0.0515625,0.16115,Upstairs
1.1050501,3.798,10.28295,-0.216975,-0.0185625,0.163075,Upstairs
1.107,3.7860003,10.269,-0.1909875,0.0154,0.1590875,Upstairs
1.059,3.9079502,10.281,-0.1530375,0.0374,0.1551,Upstairs
0.92295,3.9250503,10.194,-0.11,0.0444125,0.15413749,Upstairs
0.9799501,3.9390001,10.185,-0.0620125,0.0394625,0.1551,Upstairs
0.915,4.09005,10.053,-0.01705,0.02035,0.1661,Upstairs
1.03005,4.01805,9.92595,0.0240625,-0.0105875,0.17407499,Upstairs
1.04205,4.07805,9.864,0.0589875,-0.05555,0.1810875,Upstairs
1.14495,4.06005,9.7560005,0.088,-0.0955625,0.1821875,Upstairs
1.1719501,4.09695,9.529051,0.1170125,-0.135575,0.1821875,Upstairs
1.26495,4.1280003,9.526051,0.141075,-0.16665,0.1791625,Upstairs
1.3560001,4.1470504,9.592951,0.1610125,-0.1865875,0.1731125,Upstairs
1.43505,4.0669503,9.541051,0.172975,-0.19855,0.1661,Upstairs
1.42095,4.0410004,9.50205,0.1799875,-0.196625,0.158125,Upstairs
1.5259501,4.06005,9.5449505,0.1890625,-0.18259999,0.15015,Upstairs
1.5640501,4.1449504,9.46395,0.1860375,-0.151525,0.1461625,Upstairs
1.58595,4.143,9.387,0.18205,-0.1065625,0.141075,Upstairs
1.5480001,4.116,9.35595,0.172975,-0.056649998,0.1351625,Upstairs
1.6339501,4.143,9.30405,0.1610125,-0.0026125,0.1331,Upstairs
1.6390501,4.21395,9.32505,0.152075,0.040425,0.1291125,Upstairs
1.66005,4.083,9.27,0.1439625,0.0774125,0.1241625,Upstairs
3.1210501,2.5759501,11.1,0.1489125,2.0966,0.1753125,Downstairs
3.0610502,2.43705,11.0140505,0.199925,2.2616,0.0462,Downstairs
2.8860002,2.36805,10.647,0.28393748,2.2864876,-0.049775,Downstairs
2.80005,2.49495,10.254001,0.3799125,2.175525,-0.115775,Downstairs
2.427,2.4090002,9.90705,0.4519625,1.9545625,-0.17173749,Downstairs
1.9159501,2.571,9.507001,0.48894998,1.6435375,-0.2187625,Downstairs
1.28205,2.7769501,9.17205,0.496925,1.2705,-0.2517625,Downstairs
0.75495005,2.96895,9.061951,0.4899125,0.88261247,-0.26675,Downstairs
0.453,3.07395,8.962951,0.48688748,0.531575,-0.2597375,Downstairs
0.294,3.08205,8.772,0.4879875,0.2585,-0.2297625,Downstairs
